title,year,genres,description,language,poster_url,combined
300,2006,"Action,Fantasy,War",King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,,https://image.tmdb.org/t/p/w500/h7Lcio0c9ohxPhSZg42eTlKIVVY.jpg,"300 King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C. Action,Fantasy,War"
300: Rise of an Empire,2014,"Action,Drama,Fantasy","Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",,https://image.tmdb.org/t/p/w500/wYDdWN1McB1Sio4z1dPSkb40Z78.jpg,"300: Rise of an Empire Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy. Action,Drama,Fantasy"
31,2016,"Horror,Thriller","Five carnival workers are kidnapped and held hostage in an abandoned, Hell-like compound where they are forced to participate in a violent game, the goal of which is to survive twelve hours against a gang of sadistic clowns.",,https://image.tmdb.org/t/p/w500/jHkIIkP4O0vUkSACcizOPZQIiF7.jpg,"31 Five carnival workers are kidnapped and held hostage in an abandoned, Hell-like compound where they are forced to participate in a violent game, the goal of which is to survive twelve hours against a gang of sadistic clowns. Horror,Thriller"
42,2013,"Biography,Drama,Sport",This movie is about Jackie Robinson and his journey to becoming a Brooklyn Dodger and his life during that time.,,https://image.tmdb.org/t/p/w500/iZ7jVGQWj3eBUdqwAPUlKk0BaS2.jpg,"42 This movie is about Jackie Robinson and his journey to becoming a Brooklyn Dodger and his life during that time. Biography,Drama,Sport"
5- 25- 77,2007,"Comedy,Drama","Alienated, hopeful-filmmaker Pat Johnson's epic story growing up in rural Illinois, falling in love, and becoming the first fan of the movie that changed everything.",,,"5- 25- 77 Alienated, hopeful-filmmaker Pat Johnson's epic story growing up in rural Illinois, falling in love, and becoming the first fan of the movie that changed everything. Comedy,Drama"
50/50,2011,"Comedy,Drama,Romance","Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis, and his subsequent struggle to beat the disease.",,https://image.tmdb.org/t/p/w500/8f9tM9JVB4ETBhxlQcXIjLckArl.jpg,"50/50 Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis, and his subsequent struggle to beat the disease. Comedy,Drama,Romance"
A Bigger Splash,2015,"Drama,Thriller",The vacation of a famous rock star and a filmmaker in Italy is disrupted by the unexpected visit of an old friend and his daughter.,,https://image.tmdb.org/t/p/w500/b9ca2L41R43Lg1hpSzJHwtDTvYU.jpg,"A Bigger Splash The vacation of a famous rock star and a filmmaker in Italy is disrupted by the unexpected visit of an old friend and his daughter. Drama,Thriller"
A Cure for Wellness,2016,"Drama,Fantasy,Horror","An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem.",,https://image.tmdb.org/t/p/w500/8QWJtne0pTsNoJ86KE993aQYTLW.jpg,"A Cure for Wellness An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem. Drama,Fantasy,Horror"
A Dark Song,2016,"Drama,Horror",A determined young woman and a damaged occultist risk their lives and souls to perform a dangerous ritual that will grant them what they want.,,https://image.tmdb.org/t/p/w500/fguce8M1bZnWjVkRWCFh9P3kt6A.jpg,"A Dark Song A determined young woman and a damaged occultist risk their lives and souls to perform a dangerous ritual that will grant them what they want. Drama,Horror"
A Good Year,2006,"Comedy,Drama,Romance","A British investment broker inherits his uncle's chateau and vineyard in Provence, where he spent much of his childhood. He discovers a new laid-back lifestyle as he tries to renovate the estate to be sold.",,https://image.tmdb.org/t/p/w500/10ErazhJxfL68rWg2KLfwiRuIou.jpg,"A Good Year A British investment broker inherits his uncle's chateau and vineyard in Provence, where he spent much of his childhood. He discovers a new laid-back lifestyle as he tries to renovate the estate to be sold. Comedy,Drama,Romance"
A Hologram for the King,2016,"Comedy,Drama",A failed American sales rep looks to recoup his losses by traveling to Saudi Arabia and selling his company's product to a wealthy monarch.,,https://image.tmdb.org/t/p/w500/wmjWGb2tqtOA4XPnK1tpIfzRtSQ.jpg,"A Hologram for the King A failed American sales rep looks to recoup his losses by traveling to Saudi Arabia and selling his company's product to a wealthy monarch. Comedy,Drama"
A Kind of Murder,2016,"Crime,Drama,Thriller","In 1960s New York, Walter Stackhouse is a successful architect married to the beautiful Clara who leads a seemingly perfect life. But his fascination with an unsolved murder leads him into a spiral of chaos as he is forced to play cat-and-mouse with a clever killer and an overambitious detective, while at the same time lusting after another woman.",,https://image.tmdb.org/t/p/w500/hEeuCjUnGFCPdHbHFUUGGsCIrNt.jpg,"A Kind of Murder In 1960s New York, Walter Stackhouse is a successful architect married to the beautiful Clara who leads a seemingly perfect life. But his fascination with an unsolved murder leads him into a spiral of chaos as he is forced to play cat-and-mouse with a clever killer and an overambitious detective, while at the same time lusting after another woman. Crime,Drama,Thriller"
A Million Ways to Die in the West,2014,"Comedy,Romance,Western","As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his new-found courage to the test when her husband, a notorious gun-slinger, announces his arrival.",,https://image.tmdb.org/t/p/w500/n9SicwnoNGWBwE75le27sUhCLMm.jpg,"A Million Ways to Die in the West As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his new-found courage to the test when her husband, a notorious gun-slinger, announces his arrival. Comedy,Romance,Western"
A Monster Calls,2016,"Drama,Fantasy",A boy seeks the help of a tree monster to cope with his single mother's terminal illness.,,https://image.tmdb.org/t/p/w500/vNzWJwVqjszWwXrA7ZfsrJmhgV9.jpg,"A Monster Calls A boy seeks the help of a tree monster to cope with his single mother's terminal illness. Drama,Fantasy"
A Quiet Passion,2016,"Biography,Drama","The story of American poet Emily Dickinson from her early days as a young schoolgirl to her later years as a reclusive, unrecognized artist.",,https://image.tmdb.org/t/p/w500/k2WWlrMbuINyzDCfBuD48eN22QY.jpg,"A Quiet Passion The story of American poet Emily Dickinson from her early days as a young schoolgirl to her later years as a reclusive, unrecognized artist. Biography,Drama"
A Street Cat Named Bob,2016,"Biography,Comedy,Drama","Based on the international best selling book. The true feel good story of how James Bowen, a busker and recovering drug addict, had his life transformed when he met a stray ginger cat.",,https://image.tmdb.org/t/p/w500/nBYG0D2FcbL1m926sIj7RN4m0sb.jpg,"A Street Cat Named Bob Based on the international best selling book. The true feel good story of how James Bowen, a busker and recovering drug addict, had his life transformed when he met a stray ginger cat. Biography,Comedy,Drama"
A United Kingdom,2016,"Biography,Drama,Romance","The story of King Seretse Khama of Botswana and how his loving but controversial marriage to a British white woman, Ruth Williams, put his kingdom into political and diplomatic turmoil.",,https://image.tmdb.org/t/p/w500/xyhoW9qK7ZaDM1V4A6pPL9DWjn8.jpg,"A United Kingdom The story of King Seretse Khama of Botswana and how his loving but controversial marriage to a British white woman, Ruth Williams, put his kingdom into political and diplomatic turmoil. Biography,Drama,Romance"
A Walk Among the Tombstones,2014,"Crime,Drama,Mystery",Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,,https://image.tmdb.org/t/p/w500/euPgyPsiNFp6gOBB7nUFxvN5ZaY.jpg,"A Walk Among the Tombstones Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife. Crime,Drama,Mystery"
About Time,2013,"Comedy,Drama,Fantasy","At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",,https://image.tmdb.org/t/p/w500/iR1bVfURbN7r1C46WHFbwCkVve.jpg,"About Time At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think. Comedy,Drama,Fantasy"
Absolutely Anything,2015,"Comedy,Sci-Fi","A group of eccentric aliens confer a human being with the power to do absolutely anything, as an experiment.",,https://image.tmdb.org/t/p/w500/2gkyLFG3MpbqXC1eF8dlSge886s.jpg,"Absolutely Anything A group of eccentric aliens confer a human being with the power to do absolutely anything, as an experiment. Comedy,Sci-Fi"
Across the Universe,2007,"Drama,Fantasy,Musical",The music of the Beatles and the Vietnam War form the backdrop for the romance between an upper-class American girl and a poor Liverpudlian artist.,,https://image.tmdb.org/t/p/w500/447c8Te3DXC46rQvDEixKGO4dS6.jpg,"Across the Universe The music of the Beatles and the Vietnam War form the backdrop for the romance between an upper-class American girl and a poor Liverpudlian artist. Drama,Fantasy,Musical"
Adoration,2013,"Drama,Romance",A pair of childhood friends and neighbors fall for each other's sons.,,https://image.tmdb.org/t/p/w500/vi04iHkxHU5qJfx0K4Y4FUBgCu3.jpg,"Adoration A pair of childhood friends and neighbors fall for each other's sons. Drama,Romance"
After Earth,2013,"Action,Adventure,Sci-Fi","A crash landing leaves Kitai Raige and his father Cypher stranded on Earth, a millennium after events forced humanity's escape. With Cypher injured, Kitai must embark on a perilous journey to signal for help.",,https://image.tmdb.org/t/p/w500/iXMvYIlzzJBs352CfeiQcBvovZt.jpg,"After Earth A crash landing leaves Kitai Raige and his father Cypher stranded on Earth, a millennium after events forced humanity's escape. With Cypher injured, Kitai must embark on a perilous journey to signal for help. Action,Adventure,Sci-Fi"
Ah-ga-ssi,2016,"Drama,Mystery,Romance","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",,https://image.tmdb.org/t/p/w500/dLlH4aNHdnmf62umnInL8xPlPzw.jpg,"Ah-ga-ssi A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her. Drama,Mystery,Romance"
Airlift,2016,"Thriller, Drama",A businessman rescues Indians stranded in Kuwait.,Hindi,https://image.tmdb.org/t/p/w342/oyaxIm3kTWDQtcYQ45eN5sZ6WIz.jpg,"Airlift A businessman rescues Indians stranded in Kuwait. Thriller, Drama"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,"Comedy,Family","Alexander's day begins with gum stuck in his hair, followed by more calamities. However, he finds little sympathy from his family and begins to wonder if bad things only happen to him, his mom, dad, brother and sister - who all find themselves living through their own terrible, horrible, no good, very bad day.",,https://image.tmdb.org/t/p/w500/pxbAepXQjsGFDHaR3dPndFSxDU0.jpg,"Alexander and the Terrible, Horrible, No Good, Very Bad Day Alexander's day begins with gum stuck in his hair, followed by more calamities. However, he finds little sympathy from his family and begins to wonder if bad things only happen to him, his mom, dad, brother and sister - who all find themselves living through their own terrible, horrible, no good, very bad day. Comedy,Family"
Alice in Wonderland,2010,"Adventure,Family,Fantasy","Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",,https://image.tmdb.org/t/p/w500/o0kre9wRCZz3jjSjaru7QU0UtFz.jpg,"Alice in Wonderland Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror. Adventure,Family,Fantasy"
Alice Through the Looking Glass,2016,"Adventure,Family,Fantasy",Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.,,https://image.tmdb.org/t/p/w500/kbGamUkYfgKIYIrU8kW5oc0NatZ.jpg,"Alice Through the Looking Glass Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter. Adventure,Family,Fantasy"
Aliens vs Predator - Requiem,2007,"Action,Horror,Sci-Fi","Warring alien and predator races descend on a rural US town, where unsuspecting residents must band together for any chance of survival.",,https://image.tmdb.org/t/p/w500/5iTwPDNtvK6ZZF607BHBbU3HO0B.jpg,"Aliens vs Predator - Requiem Warring alien and predator races descend on a rural US town, where unsuspecting residents must band together for any chance of survival. Action,Horror,Sci-Fi"
All Good Things,2010,"Crime,Drama,Mystery","Mr. David Marks was suspected but never tried for killing his wife Katie who disappeared in 1982, but the truth is eventually revealed.",,https://image.tmdb.org/t/p/w500/3RM8SyB0yHanJbYeHdgi5eLv21C.jpg,"All Good Things Mr. David Marks was suspected but never tried for killing his wife Katie who disappeared in 1982, but the truth is eventually revealed. Crime,Drama,Mystery"
All We Had,2016,Drama,A mother struggles to make a better life for her daughter.,,https://image.tmdb.org/t/p/w500/fnOb1xstKaHY6IR3ujPPobGR6DX.jpg,All We Had A mother struggles to make a better life for her daughter. Drama
Allegiant,2016,"Action,Adventure,Mystery","After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.",,https://image.tmdb.org/t/p/w500/faq9JlF8znUGQ5p3En1W61Fi5p0.jpg,"Allegiant After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them. Action,Adventure,Mystery"
Allied,2016,"Action,Drama,Romance","In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",,https://image.tmdb.org/t/p/w500/sV4lXM32quwminL3TP36nlNPp7Q.jpg,"Allied In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war. Action,Drama,Romance"
Amateur Night,2016,Comedy,"Guy Carter is an award-winning graduate student of architecture. He's got a beautiful wife and a baby on the way. The problem? He doesn't have ""his ducks in a row,"" which only fuels his ... See full summary ÃÂ»",,https://image.tmdb.org/t/p/w500/dzJFu1F0miZKHbR7tRIX6cQcI8c.jpg,"Amateur Night Guy Carter is an award-winning graduate student of architecture. He's got a beautiful wife and a baby on the way. The problem? He doesn't have ""his ducks in a row,"" which only fuels his ... See full summary ÃÂ» Comedy"
American Gangster,2007,"Biography,Crime,Drama","In 1970s America, a detective works to bring down the drug empire of Frank Lucas, a heroin kingpin from Manhattan, who is smuggling the drug into the country from the Far East.",,https://image.tmdb.org/t/p/w500/m7kJge9DG86Bj7hsBW6xFCMyDkY.jpg,"American Gangster In 1970s America, a detective works to bring down the drug empire of Frank Lucas, a heroin kingpin from Manhattan, who is smuggling the drug into the country from the Far East. Biography,Crime,Drama"
American Honey,2016,Drama,"A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits.",,https://image.tmdb.org/t/p/w500/41SVO0AElBAl7zks9dFhJ0OjHni.jpg,"American Honey A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits. Drama"
American Hustle,2013,"Crime,Drama","A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia.",,https://image.tmdb.org/t/p/w500/z6O1KDhfWDTm5ZBr6Ovr0eg8LqO.jpg,"American Hustle A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia. Crime,Drama"
American Pastoral,2016,"Crime,Drama",An All-American college star and his beauty queen wife watch their seemingly perfect life fall apart as their daughter joins the turmoil of '60s America.,,https://image.tmdb.org/t/p/w500/pgpMzdML9FUj3GpDU3LFi7AWbHQ.jpg,"American Pastoral An All-American college star and his beauty queen wife watch their seemingly perfect life fall apart as their daughter joins the turmoil of '60s America. Crime,Drama"
