title,year,genres,description,language,poster_url,combined
Eye in the Sky,2015,"Drama,Thriller,War","Col. Katherine Powell, a military officer in command of an operation to capture terrorists in Kenya, sees her mission escalate when a girl enters the kill zone triggering an international dispute over the implications of modern warfare.",,https://image.tmdb.org/t/p/w500/xMY2XbaRtmto9LXwo83wnYRKN2U.jpg,"Eye in the Sky Col. Katherine Powell, a military officer in command of an operation to capture terrorists in Kenya, sees her mission escalate when a girl enters the kill zone triggering an international dispute over the implications of modern warfare. Drama,Thriller,War"
Fallen,2016,"Adventure,Drama,Fantasy","A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student, unaware that he is an angel, and has loved her for thousands of years.",,https://image.tmdb.org/t/p/w500/usGCM7wiUQhijEwz39brIaoGlVa.jpg,"Fallen A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student, unaware that he is an angel, and has loved her for thousands of years. Adventure,Drama,Fantasy"
Fantastic Beasts and Where to Find Them,2016,"Adventure,Family,Fantasy",The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,,https://image.tmdb.org/t/p/w500/fLsaFKExQt05yqjoAvKsmOMYvJR.jpg,"Fantastic Beasts and Where to Find Them The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school. Adventure,Family,Fantasy"
Fantastic Four,2015,"Action,Adventure,Sci-Fi",Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.,,https://image.tmdb.org/t/p/w500/cDroz5qSlP8xZ6tOpeYoPkBvKyL.jpg,"Fantastic Four Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy. Action,Adventure,Sci-Fi"
Fantastic Mr. Fox,2009,"Animation,Adventure,Comedy",An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,,https://image.tmdb.org/t/p/w500/euZyZb6iGreujYKrGyZHRddhUYh.jpg,"Fantastic Mr. Fox An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation. Animation,Adventure,Comedy"
Fast & Furious,2009,"Action,Crime,Thriller","Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation.",,https://image.tmdb.org/t/p/w500/lUtVoRukW7WNtUySwd8hWlByBds.jpg,"Fast & Furious Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation. Action,Crime,Thriller"
Fast Five,2011,"Action,Crime,Thriller",Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,,https://image.tmdb.org/t/p/w500/gEfQjjQwY7fh5bI4GlG0RrBu7Pz.jpg,"Fast Five Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent. Action,Crime,Thriller"
Faster,2010,"Action,Crime,Drama",An ex-con gets on a series of apparently unrelated killings. He gets tracked by a veteran cop with secrets of his own and an egocentric hit man.,,https://image.tmdb.org/t/p/w500/AsUeaXrhw4oscCSjUZ6heh1pVvd.jpg,"Faster An ex-con gets on a series of apparently unrelated killings. He gets tracked by a veteran cop with secrets of his own and an egocentric hit man. Action,Crime,Drama"
Fences,2016,Drama,"A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",,https://image.tmdb.org/t/p/w500/8NvnB8aeWQvBEz2ruN4g313j991.jpg,"Fences A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life. Drama"
Fifty Shades of Grey,2015,"Drama,Romance,Thriller","Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",,https://image.tmdb.org/t/p/w500/63kGofUkt1Mx0SIL4XI4Z5AoSgt.jpg,"Fifty Shades of Grey Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey. Drama,Romance,Thriller"
Filth,2013,"Comedy,Crime,Drama","A corrupt, junkie cop with bipolar disorder attempts to manipulate his way through a promotion in order to win back his wife and daughter while also fighting his own borderline-fueled inner demons.",,https://image.tmdb.org/t/p/w500/1F2q79eQqEEiak6sslCzdbyCbr5.jpg,"Filth A corrupt, junkie cop with bipolar disorder attempts to manipulate his way through a promotion in order to win back his wife and daughter while also fighting his own borderline-fueled inner demons. Comedy,Crime,Drama"
Final Destination 5,2011,"Horror,Thriller",Survivors of a suspension-bridge collapse learn there's no way you can cheat Death.,,https://image.tmdb.org/t/p/w500/Akx1Po4ZLetOWfYJhQf75tbhTtK.jpg,"Final Destination 5 Survivors of a suspension-bridge collapse learn there's no way you can cheat Death. Horror,Thriller"
Final Girl,2015,"Action,Thriller",A man teaches a young woman how to become a complete weapon. Later she is approached by a group of sadistic teens who kill blonde women for unknown reasons. The hunting season begins.,,https://image.tmdb.org/t/p/w500/7liOzGi6DNESPv5gFC7g6mpqBSK.jpg,"Final Girl A man teaches a young woman how to become a complete weapon. Later she is approached by a group of sadistic teens who kill blonde women for unknown reasons. The hunting season begins. Action,Thriller"
Finding Dory,2016,"Animation,Adventure,Comedy","The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",,https://image.tmdb.org/t/p/w500/3UVe8NL1E2ZdUZ9EDlKGJY5UzE.jpg,"Finding Dory The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way. Animation,Adventure,Comedy"
Flight,2012,"Drama,Thriller","An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",,https://image.tmdb.org/t/p/w500/tFsHDNclXoCKy2xMxskzXXMaFJS.jpg,"Flight An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling. Drama,Thriller"
Florence Foster Jenkins,2016,"Biography,Comedy,Drama","The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.",,https://image.tmdb.org/t/p/w500/qciyu815r7vQ4d9usO3QLww3HVt.jpg,"Florence Foster Jenkins The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice. Biography,Comedy,Drama"
Focus,2015,"Comedy,Crime,Drama","In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.",,https://image.tmdb.org/t/p/w500/lOzGWjceYTd0kd5HyX7Ch46O9kh.jpg,"Focus In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop. Comedy,Crime,Drama"
Folk Hero & Funny Guy,2016,Comedy,A successful singer-songwriter hatches a plan to help his friend's struggling comedy career and broken love life by hiring him as his opening act on his solo tour.,,https://image.tmdb.org/t/p/w500/dLazZ9AiumqJXBpF3x08b5NyOfh.jpg,Folk Hero & Funny Guy A successful singer-songwriter hatches a plan to help his friend's struggling comedy career and broken love life by hiring him as his opening act on his solo tour. Comedy
Fool's Gold,2008,"Action,Adventure,Comedy",A new clue to the whereabouts of a lost treasure rekindles a married couple's sense of adventure -- and their estranged romance.,,https://image.tmdb.org/t/p/w500/f4djEBW3nyGRPLTcDlWYyaO43mx.jpg,"Fool's Gold A new clue to the whereabouts of a lost treasure rekindles a married couple's sense of adventure -- and their estranged romance. Action,Adventure,Comedy"
Footloose,2011,"Comedy,Drama,Music","City teenager Ren MacCormack moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace.",,https://image.tmdb.org/t/p/w500/cDUW5RWmyHcTxu7eg9eMqhBQy2J.jpg,"Footloose City teenager Ren MacCormack moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace. Comedy,Drama,Music"
Forgetting Sarah Marshall,2008,"Comedy,Drama,Romance","Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend.",,https://image.tmdb.org/t/p/w500/d4elOzyhNWVlxpG7BwigrumkFTe.jpg,"Forgetting Sarah Marshall Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend. Comedy,Drama,Romance"
Forushande,2016,"Drama,Thriller","While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",,https://image.tmdb.org/t/p/w500/x4PIuYU5ZMMXiTrheNR8vCTYPBf.jpg,"Forushande While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections. Drama,Thriller"
Fracture,2007,"Crime,Drama,Mystery","An attorney, intent on climbing the career ladder toward success, finds an unlikely opponent in a manipulative criminal he is trying to prosecute.",,https://image.tmdb.org/t/p/w500/qNen8x5gaikjIg9CFihgxYcJwQe.jpg,"Fracture An attorney, intent on climbing the career ladder toward success, finds an unlikely opponent in a manipulative criminal he is trying to prosecute. Crime,Drama,Mystery"
Frantz,2016,"Drama,History,War","In the aftermath of WWI, a young German who grieves the death of her fiancÃÂ© in France meets a mysterious Frenchman who visits the fiancÃÂ©'s grave to lay flowers.",,https://image.tmdb.org/t/p/w500/cL77uNb2BB8eXjYl9JIrWXCM8so.jpg,"Frantz In the aftermath of WWI, a young German who grieves the death of her fiancÃÂ© in France meets a mysterious Frenchman who visits the fiancÃÂ©'s grave to lay flowers. Drama,History,War"
Free Fire,2016,"Action,Comedy,Crime","Set in Boston in 1978, a meeting in a deserted warehouse between two gangs turns into a shootout and a game of survival.",,https://image.tmdb.org/t/p/w500/olpgs0OPE8sdBGcuuWhKYzxAwN4.jpg,"Free Fire Set in Boston in 1978, a meeting in a deserted warehouse between two gangs turns into a shootout and a game of survival. Action,Comedy,Crime"
Free State of Jones,2016,"Action,Biography,Drama","A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters, runaway slaves, and women in an uprising against the corrupt local Confederate government.",,https://image.tmdb.org/t/p/w500/fTB6p9QwPRKIuK5LtB5CZXlkx5b.jpg,"Free State of Jones A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters, runaway slaves, and women in an uprising against the corrupt local Confederate government. Action,Biography,Drama"
Freedom Writers,2007,"Biography,Crime,Drama","A young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school.",,https://image.tmdb.org/t/p/w500/81AdeUQT99N0xPg3j6RVh0YGOTk.jpg,"Freedom Writers A young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school. Biography,Crime,Drama"
Friday the 13th,2009,Horror,"A group of young adults discover a boarded up Camp Crystal Lake, where they soon encounter Jason Voorhees and his deadly intentions.",,https://image.tmdb.org/t/p/w500/88wlJ4teYlck4hJ2bnlxBrAVh0m.jpg,"Friday the 13th A group of young adults discover a boarded up Camp Crystal Lake, where they soon encounter Jason Voorhees and his deadly intentions. Horror"
Friend Request,2016,"Horror,Thriller","When a college student unfriends a mysterious girl online, she finds herself fighting a demonic presence that wants to make her lonely by killing her closest friends.",,https://image.tmdb.org/t/p/w500/7gfG9tGRPzmVyg3nEwQrTGOJ8C6.jpg,"Friend Request When a college student unfriends a mysterious girl online, she finds herself fighting a demonic presence that wants to make her lonely by killing her closest friends. Horror,Thriller"
Friends with Benefits,2011,"Comedy,Romance","A young man and woman decide to take their friendship to the next level without becoming a couple, but soon discover that adding sex only leads to complications.",,https://image.tmdb.org/t/p/w500/nKhhDFCdzxeJ3GUunQ570LDpUkz.jpg,"Friends with Benefits A young man and woman decide to take their friendship to the next level without becoming a couple, but soon discover that adding sex only leads to complications. Comedy,Romance"
Frozen,2013,"Animation,Adventure,Comedy","When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister, Anna, teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",,https://image.tmdb.org/t/p/w500/itAKcobTYGpYT8Phwjd8c9hleTo.jpg,"Frozen When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister, Anna, teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition. Animation,Adventure,Comedy"
Funny Games,2007,"Crime,Drama,Horror",Two psychopathic young men take a family hostage in their cabin.,,https://image.tmdb.org/t/p/w500/2RGiR5yNmxXS8c4Qypmbqn0b63w.jpg,"Funny Games Two psychopathic young men take a family hostage in their cabin. Crime,Drama,Horror"
Furious 6,2013,"Action,Crime,Thriller","Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty.",,https://image.tmdb.org/t/p/w500/thSmnRdrzPBBospIOJjLZBReqzo.jpg,"Furious 6 Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty. Action,Crime,Thriller"
Furious Seven,2015,"Action,Crime,Thriller",Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,,https://image.tmdb.org/t/p/w500/ktofZ9Htrjiy0P6LEowsDaxd3Ri.jpg,"Furious Seven Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother. Action,Crime,Thriller"
Fury,2014,"Action,Drama,War","A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.",,https://image.tmdb.org/t/p/w500/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg,"Fury A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945. Action,Drama,War"
G.I. Joe: Retaliation,2013,"Action,Adventure,Sci-Fi",The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.,,https://image.tmdb.org/t/p/w500/3rWIZMzTKcCtV0eHJ70Z4Ru659f.jpg,"G.I. Joe: Retaliation The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence. Action,Adventure,Sci-Fi"
G.I. Joe: The Rise of Cobra,2009,"Action,Adventure,Sci-Fi","An elite military unit comprised of special operatives known as G.I. Joe, operating out of The Pit, takes on an evil organization led by a notorious arms dealer.",,https://image.tmdb.org/t/p/w500/mc9b25IAprHfsaOz0wTshOwGHcY.jpg,"G.I. Joe: The Rise of Cobra An elite military unit comprised of special operatives known as G.I. Joe, operating out of The Pit, takes on an evil organization led by a notorious arms dealer. Action,Adventure,Sci-Fi"
Gangster Squad,2013,"Action,Crime,Drama","It's 1949 Los Angeles, the city is run by gangsters and a malicious mobster, Mickey Cohen. Determined to end the corruption, John O'Mara assembles a team of cops, ready to take down the ruthless leader and restore peace to the city.",,https://image.tmdb.org/t/p/w500/4Ai5uFTPE1tUXSc5wMbXyZtXkt8.jpg,"Gangster Squad It's 1949 Los Angeles, the city is run by gangsters and a malicious mobster, Mickey Cohen. Determined to end the corruption, John O'Mara assembles a team of cops, ready to take down the ruthless leader and restore peace to the city. Action,Crime,Drama"
Genius,2016,"Biography,Drama","A chronicle of Max Perkins's time as the book editor at Scribner, where he oversaw works by Thomas Wolfe, Ernest Hemingway, F. Scott Fitzgerald and others.",,https://image.tmdb.org/t/p/w500/f3KG63zvQGvakfwOTUb8ODgHEnP.jpg,"Genius A chronicle of Max Perkins's time as the book editor at Scribner, where he oversaw works by Thomas Wolfe, Ernest Hemingway, F. Scott Fitzgerald and others. Biography,Drama"
Get Hard,2015,"Comedy,Crime","When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars.",,https://image.tmdb.org/t/p/w500/rJPbS2cYOYhDCjT5NmW1Fm6gFl3.jpg,"Get Hard When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars. Comedy,Crime"
Ghost Rider,2007,"Action,Fantasy,Thriller","Stunt motorcyclist Johnny Blaze gives up his soul to become a hellblazing vigilante, to fight against power hungry Blackheart, the son of the devil himself.",,https://image.tmdb.org/t/p/w500/1pyU94dAY7npDQCKuxCSyX9KthN.jpg,"Ghost Rider Stunt motorcyclist Johnny Blaze gives up his soul to become a hellblazing vigilante, to fight against power hungry Blackheart, the son of the devil himself. Action,Fantasy,Thriller"
Ghostbusters,2016,"Action,Comedy,Fantasy","Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",,https://image.tmdb.org/t/p/w500/wJmWliwXIgZOCCVOcGRBhce7xPS.jpg,"Ghostbusters Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat. Action,Comedy,Fantasy"
Gods of Egypt,2016,"Action,Adventure,Fantasy","Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",,https://image.tmdb.org/t/p/w500/hzH7fwaTyQNITLo40Hu3R7cVMqv.jpg,"Gods of Egypt Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict. Action,Adventure,Fantasy"
Godzilla,2014,"Action,Adventure,Sci-Fi","The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.",,https://image.tmdb.org/t/p/w500/zokD6uxR2iWfYM3Y84yGJvnNTK7.jpg,"Godzilla The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity. Action,Adventure,Sci-Fi"
Goksung,2016,"Drama,Fantasy,Horror",A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.,,https://image.tmdb.org/t/p/w500/aXlL7yYwpXInhltamtzKQFBG08G.jpg,"Goksung A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter. Drama,Fantasy,Horror"
Gold,2016,"Adventure,Drama,Thriller","Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia.",,https://image.tmdb.org/t/p/w500/ukMXAdr325Tn1mLGkxdG8Lab16l.jpg,"Gold Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia. Adventure,Drama,Thriller"
Gone Baby Gone,2007,"Crime,Drama,Mystery","Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",,https://image.tmdb.org/t/p/w500/wZR1dvctqODqNGv6LJBEj6DQ2zK.jpg,"Gone Baby Gone Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally. Crime,Drama,Mystery"
Gone Girl,2014,"Crime,Drama,Mystery","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",,https://image.tmdb.org/t/p/w500/ts996lKsxvjkO2yiYG0ht4qAicO.jpg,"Gone Girl With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent. Crime,Drama,Mystery"
Good Kids,2016,Comedy,Four high school students look to redefine themselves after graduation.,,https://image.tmdb.org/t/p/w500/9R3hZnqFNyFmG10qwKzaUntlUbg.jpg,Good Kids Four high school students look to redefine themselves after graduation. Comedy
Goosebumps,2015,"Adventure,Comedy,Family","A teenager teams up with the daughter of young adult horror author R. L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.",,https://image.tmdb.org/t/p/w500/aeZT9pqEgrmXOGdESFkAuVjX6kw.jpg,"Goosebumps A teenager teams up with the daughter of young adult horror author R. L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware. Adventure,Comedy,Family"
Gran Torino,2008,Drama,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",,https://image.tmdb.org/t/p/w500/zUybYvxWdAJy5hhYovsXtHSWI1l.jpg,"Gran Torino Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino. Drama"
Gravity,2013,"Drama,Sci-Fi,Thriller",Two astronauts work together to survive after an accident which leaves them alone in space.,,https://image.tmdb.org/t/p/w500/kZ2nZw8D681aphje8NJi8EfbL1U.jpg,"Gravity Two astronauts work together to survive after an accident which leaves them alone in space. Drama,Sci-Fi,Thriller"
Green Lantern,2011,"Action,Adventure,Sci-Fi","Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",,https://image.tmdb.org/t/p/w500/fj21HwUprqjjwTdkKC1XZurRSpV.jpg,"Green Lantern Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps. Action,Adventure,Sci-Fi"
Green Room,2015,"Crime,Horror,Thriller",A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.,,https://image.tmdb.org/t/p/w500/evZicaR7nXe4LiD9G6QYTorcJGO.jpg,"Green Room A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar. Crime,Horror,Thriller"
Grimsby,2016,"Action,Adventure,Comedy",A new assignment forces a top spy to team up with his football hooligan brother.,,https://image.tmdb.org/t/p/w500/2jQGFmShpdflApc5oidJZ97m1d1.jpg,"Grimsby A new assignment forces a top spy to team up with his football hooligan brother. Action,Adventure,Comedy"
Grindhouse,2007,"Action,Horror,Thriller",Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the 60s and 70s with two back-to-back cult films that include previews of coming attractions between them.,,https://image.tmdb.org/t/p/w500/tvMBwJlmQTIQf5EBjHzzyE9tjcN.jpg,"Grindhouse Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the 60s and 70s with two back-to-back cult films that include previews of coming attractions between them. Action,Horror,Thriller"
Grown Ups,2010,Comedy,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",,https://image.tmdb.org/t/p/w500/ys0LscDFAuZxfUcpH5moiPeFfXs.jpg,"Grown Ups After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend. Comedy"
Grown Ups 2,2013,Comedy,"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and 400 costumed party crashers sometimes crazy follows you.",,https://image.tmdb.org/t/p/w500/hT6ijOtjtYrnyDhN7VA2QWyGFAm.jpg,"Grown Ups 2 After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and 400 costumed party crashers sometimes crazy follows you. Comedy"
Guardians of the Galaxy,2014,"Action,Adventure,Sci-Fi",A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,,https://image.tmdb.org/t/p/w500/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,"Guardians of the Galaxy A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe. Action,Adventure,Sci-Fi"
Hachi: A Dog's Tale,2009,"Drama,Family",A college professor's bond with the abandoned dog he takes into his home.,,https://image.tmdb.org/t/p/w500/lsy3aEsEfYIHdLRk4dontZ4s85h.jpg,"Hachi: A Dog's Tale A college professor's bond with the abandoned dog he takes into his home. Drama,Family"
Hacker,2016,"Crime,Drama,Thriller",With the help of his new friends Alex Danyliuk turns to a life of crime and identity theft.,,https://image.tmdb.org/t/p/w500/gpYwKrP6s749b5Nzgm2174jKrpf.jpg,"Hacker With the help of his new friends Alex Danyliuk turns to a life of crime and identity theft. Crime,Drama,Thriller"
Hacksaw Ridge,2016,"Biography,Drama,History","WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",,https://image.tmdb.org/t/p/w500/wuz8TjCIWR2EVVMuEfBnQ1vuGS3.jpg,"Hacksaw Ridge WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot. Biography,Drama,History"
"Hail, Caesar!",2016,"Comedy,Mystery",A Hollywood fixer in the 1950s works to keep the studio's stars in line.,,https://image.tmdb.org/t/p/w500/ozY79UvbYvJUWFg2UCM1CDQ7rBl.jpg,"Hail, Caesar! A Hollywood fixer in the 1950s works to keep the studio's stars in line. Comedy,Mystery"
Hairspray,2007,"Comedy,Drama,Family",Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.,,https://image.tmdb.org/t/p/w500/fgMka3HtFvI5OgW1eYdR9XpySxH.jpg,"Hairspray Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show. Comedy,Drama,Family"
Half of a Yellow Sun,2013,"Drama,Romance","Sisters Olanna and Kainene return home to 1960s Nigeria, where they soon diverge on different paths. As civil war breaks out, political events loom larger than their differences as they join the fight to establish an independent republic.",,https://image.tmdb.org/t/p/w500/dMNg70yFZt1w7lXoHqCu4U43MVZ.jpg,"Half of a Yellow Sun Sisters Olanna and Kainene return home to 1960s Nigeria, where they soon diverge on different paths. As civil war breaks out, political events loom larger than their differences as they join the fight to establish an independent republic. Drama,Romance"
Hancock,2008,"Action,Crime,Drama",Hancock is a superhero whose ill considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.,,https://image.tmdb.org/t/p/w500/7DyuV2G0hLEqHeueDfOqhZ2DVut.jpg,"Hancock Hancock is a superhero whose ill considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image. Action,Crime,Drama"
Hands of Stone,2016,"Action,Biography,Drama",The legendary Roberto Duran and his equally legendary trainer Ray Arcel change each other's lives.,,https://image.tmdb.org/t/p/w500/rpAYkkc7ltnxnMXOZLPuI9A6cuB.jpg,"Hands of Stone The legendary Roberto Duran and his equally legendary trainer Ray Arcel change each other's lives. Action,Biography,Drama"
Handsome Devil,2016,Drama,Ned and Conor are forced to share a bedroom at their boarding school. The loner and the star athlete at this rugby-mad school form an unlikely friendship until it's tested by the authorities.,,https://image.tmdb.org/t/p/w500/xlHOWQFgcGV4KcZKLzYBZ21gjGT.jpg,Handsome Devil Ned and Conor are forced to share a bedroom at their boarding school. The loner and the star athlete at this rugby-mad school form an unlikely friendship until it's tested by the authorities. Drama
Hanna,2011,"Action,Drama,Thriller","A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.",,https://image.tmdb.org/t/p/w500/gRvxRMtejJa9jjfDDUibUIfIJbP.jpg,"Hanna A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives. Action,Drama,Thriller"
Happy Feet,2006,"Animation,Comedy,Family","Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",,https://image.tmdb.org/t/p/w500/za41IHkj6LnkilfTzv5B2qmthKD.jpg,"Happy Feet Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce! Animation,Comedy,Family"
